T,Chlorophyta_Chlamydomonadales,Cryptophyta_Cryptophyceae,Ochrophyta_Chrysophyceae,Euglenozoa_Kinetoplastea,Ciliophora_Scuticociliatia,Ciliophora_Colpodea,Ciliophora_Oligohymenophorea,Ciliophora_Prostomatea,Ciliophora_Strombidiida,Ciliophora_Tintinnida,Euglenozoa_Euglenida,Ciliophora_Choreotrichida,Ciliophora_Hypotrichia,Ciliophora_Nassophorea,Ciliophora_Cyrtophoria,Ciliophora_Litostomatea,Ochrophyta_Centroplasthelida,Ochrophyta_Bacillariophyta,Ciliophora_Heterotrichea,Ciliophora_Suctoria,Ciliophora_Peritrichia,Metazoa_Rotifera
Chlorophyta_Chlamydomonadales,1,0.44,-0.428571429,-0.055555556,0.6,0.4,0.391304348,0.166666667,0.5,0.571428571,0.111111111,0.5,0.428571429,0,0,0.6,0.6,0.318181818,0.142857143,0.375,0.555555556,0.666666667
Cryptophyta_Cryptophyceae,0.44,1,0.125,0.466666667,0.625,0.25,0.444444444,0,0.5,0.6,0,0.5,0.5,0.333333333,0.333333333,0.36,0.75,0.476190476,0.333333333,0.6,0.375,0.636363636
Ochrophyta_Chrysophyceae,-0.428571429,0.125,1,0.68,0,-0.428571429,-0.5,0,-0.333333333,0.5,0,0,-0.5,0.5,0.5,-0.4,0,0.533333333,0,0.5,-0.333333333,-0.142857143
Euglenozoa_Kinetoplastea,-0.055555556,0.466666667,0.68,1,0.333333333,-0.111111111,0.166666667,0,-0.5,0,0.111111111,0,-0.461538462,0.636363636,0.5,-0.294117647,0.333333333,0.6,0,0.5,-0.4,-0.090909091
Ciliophora_Scuticociliatia,0.6,0.625,0,0.333333333,1,0,0.333333333,0.5,0,0.5,0,0,0.333333333,0,0,0.666666667,0,0.5,0.5,0.5,0.5,0.625
Ciliophora_Colpodea,0.4,0.25,-0.428571429,-0.111111111,0,1,0,0,0,0.5,0,0,0.5,0.333333333,0,0.333333333,0,0.666666667,0,0.333333333,0.25,0.5
Ciliophora_Oligohymenophorea,0.391304348,0.444444444,-0.5,0.166666667,0.333333333,0,1,0.166666667,0,0.2,0.6,0,0.214285714,0,0,0.4,0.2,0.142857143,0.428571429,-0.2,0,0.65
Ciliophora_Prostomatea,0.166666667,0,0,0,0.5,0,0.166666667,1,0,0.5,0,0,0,0,0,0.25,0,0,0,0,0,0.5
Ciliophora_Strombidiida,0.5,0.5,-0.333333333,-0.5,0,0,0,0,1,0,0,0,0.7,0,0,0.5,0,0.5,0,0,0,0.714285714
Ciliophora_Tintinnida,0.571428571,0.6,0.5,0,0.5,0.5,0.2,0.5,0,1,0,0,0.5,0,0,0.444444444,0.333333333,0,0.5,0,0,0.6
Euglenozoa_Euglenida,0.111111111,0,0,0.111111111,0,0,0.6,0,0,0,1,-0.5,0.2,0,0,0.333333333,-0.25,0.5,0.5,-0.666666667,0.5,0
Ciliophora_Choreotrichida,0.5,0.5,0,0,0,0,0,0,0,0,-0.5,1,0.4,0,0,0.5,0.5,0,0,0.333333333,0.5,0.5
Ciliophora_Hypotrichia,0.428571429,0.5,-0.5,-0.461538462,0.333333333,0.5,0.214285714,0,0.7,0.5,0.2,0.4,1,0,0.333333333,0.612903226,0.5,0.052631579,0,0.5,0.6,0.652173913
Ciliophora_Nassophorea,0,0.333333333,0.5,0.636363636,0,0.333333333,0,0,0,0,0,0,0,1,0,0,0,0.692307692,0,0.5,0,0
Ciliophora_Cyrtophoria,0,0.333333333,0.5,0.5,0,0,0,0,0,0,0,0,0.333333333,0,1,0,0,0,0,0,0,0
Ciliophora_Litostomatea,0.6,0.36,-0.4,-0.294117647,0.666666667,0.333333333,0.4,0.25,0.5,0.444444444,0.333333333,0.5,0.612903226,0,0,1,0.333333333,0.176470588,0.333333333,0,0.571428571,0.666666667
Ochrophyta_Centroplasthelida,0.6,0.75,0,0.333333333,0,0,0.2,0,0,0.333333333,-0.25,0.5,0.5,0,0,0.333333333,1,0.166666667,0,0.5,0,0.666666667
Ochrophyta_Bacillariophyta,0.318181818,0.476190476,0.533333333,0.6,0.5,0.666666667,0.142857143,0,0.5,0,0.5,0,0.052631579,0.692307692,0,0.176470588,0.166666667,1,0,0.571428571,0,0.466666667
Ciliophora_Heterotrichea,0.142857143,0.333333333,0,0,0.5,0,0.428571429,0,0,0.5,0.5,0,0,0,0,0.333333333,0,0,1,0,0,0
Ciliophora_Suctoria,0.375,0.6,0.5,0.5,0.5,0.333333333,-0.2,0,0,0,-0.666666667,0.333333333,0.5,0.5,0,0,0.5,0.571428571,0,1,0,0.2
Ciliophora_Peritrichia,0.555555556,0.375,-0.333333333,-0.4,0.5,0.25,0,0,0,0,0.5,0.5,0.6,0,0,0.571428571,0,0,0,0,1,0.625
Metazoa_Rotifera,0.666666667,0.636363636,-0.142857143,-0.090909091,0.625,0.5,0.65,0.5,0.714285714,0.6,0,0.5,0.652173913,0,0,0.666666667,0.666666667,0.466666667,0,0.2,0.625,1
