phylum,color
Bacteria|Proteobacteria,#993333
Bacteria|Cyanobacteria,#FF9999
Bacteria|Bacteroidota,#FFA07A
Bacteria|Actinobacteriota,#BC8F8F
Bacteria|Firmicutes,#FFE4B5
Bacteria|Verrucomicrobiota,#F77683
Bacteria|Planctomycetota,#FFC27A
Bacteria|Elusimicrobiota,#FDCDAC
Bacteria|Chloroflexi,#E8B45A
Bacteria|Bdellovibrionota,#FF6347
Bacteria|Acidobacteriota,#F5DEB3
Bacteria|Patescibacteria,#FA8072
Bacteria|Myxococcota,#FFCC66
Eukaryota|Fungi,#80B1D3
Eukaryota|Ochrophyta,#87CEFA
Eukaryota|Metazoa,#1F78B4
Eukaryota|Ciliophora,#1E90FF
Eukaryota|Chlorophyta,#A6D854
Eukaryota|Fornicata,#2F4F4F
Eukaryota|Streptophyta,#218021
